Manager Name,AMC,Funds Currently Managed,Total AUM Under Management (₹ Cr),Tenure in Fund (yrs),Co-Manager,Previously Managed Funds,Brief Bio,Source URL,Last Verified Date
Sankaran Naren,ICICI Pru,ICICI Pru Multi-Asset Fund(G)|ICICI Pru Large Cap Fund(G)|ICICI Pru Value Fund(G)|ICICI Pru Equity & Debt Fund(G)|ICICI Pru India Opp Fund(G)|ICICI Pru Exports & Services Fund(G),284334.14,14.2|5.2|5.2|12.6|7.2|0.2,,,,,
Rajeev Thakkar,Parag Parikh,Parag Parikh Flexi Cap Fund-Reg(G)|Parag Parikh ELSS Tax Saver Fund-Reg(G)|Parag Parikh Dynamic Asset Allocation Fund-Reg(G)|Parag Parikh Large Cap Fund-Reg(G),137444.22,12.8|6.7|2.2|0.2,,,,,
Gopal Agrawal,HDFC,HDFC Balanced Advantage Fund(G)|HDFC Large and Mid Cap Fund-Reg(G)|HDFC Dividend Yield Fund-Reg(G),128948.32,3.8|5.7|4.7,,,,,
Dinesh Balachandran,SBI,SBI CONTRA FUND - REGULAR PLAN -GROWTH|SBI Balanced Advantage Fund-Reg(G)|SBI Flexicap Fund-Reg(G)|SBI Multi Asset Allocation Fund-Reg(G)|SBI Comma Fund-Reg(G),119955.79,7.9|4.7|1.2|4.5|1.8,,,,,
Chirag Setalvad,HDFC,HDFC Mid Cap Fund-Reg(G)|HDFC Small Cap Fund-Reg(G),119082.21,8.8|0.9,,,,,
Amit Ganatra,HDFC,HDFC Flexi Cap Fund(G)|HDFC Focused Fund-Reg(G),115504.42,3.7|3.8,,,,,
Shreyash Devalkar,Axis,Axis ELSS Tax Saver Fund-Reg(G)|Axis Midcap Fund-Reg(G)|Axis Large Cap Fund-Reg(G)|Axis Large & Mid Cap Fund-Reg(G)|Axis Multicap Fund-Reg(G),109088.08,2.6|9.3|9.3|2.6|3.0,,,,,
Sailesh Raj Bhan,Nippon India,Nippon India Large Cap Fund(G)|Nippon India Multi Cap Fund(G)|Nippon India Pharma Fund(G),100739.59,18.6|21.0|20.9,,,,,
Rajat Chandak,ICICI Pru,ICICI Pru Balanced Advantage Fund(G)|ICICI Pru Flexicap Fund(G)|ICICI Pru Smallcap Fund(G)|ICICI Pru Transportation and Logistics Fund-Reg(G),94987.61,16.4|5.9|3.8|3.5,,,,,
R. Srinivasan,SBI,SBI Focused Fund-Reg(G)|SBI Small Cap Fund-Reg(G)|SBI Multicap Fund-Reg(G),92803.06,16.9|12.4|4.0,,,,,
Harsha Upadhyaya,Kotak,Kotak Flexicap Fund(G)|Kotak Large & Midcap Fund(G)|Kotak ELSS Tax Saver Fund(G)|Kotak Manufacture in India Fund-Reg(G)|Kotak MNC Fund-Reg(G)|Kotak Quant Fund-Reg(G),87782.15,13.6|13.6|10.6|2.2|4.5|0.4,,,,,
Saurabh Pant,SBI,SBI Large Cap Fund-Reg(G)|SBI LARGE & MIDCAP FUND- REGULAR PLAN -Growth,83796.39,1.9|9.6,,,,,
Sandeep Tandon,Quant,Quant Small Cap Fund(G)|Quant ELSS Tax Saver Fund(G)|Quant Mid Cap Fund(G)|Quant Multi Cap Fund(G)|Quant Flexi Cap Fund(G)|Quant Multi Asset Allocation Fund(G)|Quant Large & Mid Cap Fund(G)|Quant Large Cap Fund-Reg(G)|Quant Infrastructure Fund(G)|Quant Aggressive Hybrid Fund(G)|Quant Value Fund-Reg(G)|Quant Quantamental Fund-Reg(G)|Quant Momentum Fund-Reg(G)|Quant Business Cycle Fund-Reg(G)|Quant Dynamic Asset Allocation Fund-Reg(G)|Quant Focused Fund(G)|Quant BFSI Fund-Reg(G)|Quant Manufacturing Fund-Reg(G)|Quant PSU Fund-Reg(G)|Quant Healthcare Fund-Reg(G)|Quant Commodities Fund-Reg(G)|Quant ESG Integration Strategy Fund-Reg(G)|Quant Teck Fund-Reg(G)|Quant Consumption Fund-Reg(G),79786.93,9.1|5.8|9.1|9.1|9.2|2.1|9.1|3.6|5.8|9.2|4.3|4.9|2.4|2.9|3.0|9.2|2.8|2.6|2.1|2.7|2.3|5.4|2.5|2.2,,,,,
